dzrhnews,2017-09-09 7:52,0,0,Gutoc: Tuluy-tuloy ang inter-agency,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
brigadanational,2017-09-09 5:48,0,0,AFP,"(['Makati', ' PH'], Location((14.55459465, 121.021407905, 0.0)))",,,,,fr
Marawi_44,2017-09-09 5:30,0,0,اللهم أعني على ذكرك وشكرك وحسن عبادتك http:// du3a.org /,,,,906268464926658560,https://twitter.com/Marawi_44/status/906268464926658560,ar
Minangkabaucom,2017-09-09 5:28,0,0,Perjalanan Hewan Kurban Indonesia untuk Pengungsi Marawi Filipina - http:// -perjalanan-hewan-kurban-indonesia-untuk-pengungsi-marawi-filipina.html …,"(['Padang', '  West Sumatra'], Location((-0.9524785, 100.3632419, 0.0)))",,,906268019327885312,https://twitter.com/Minangkabaucom/status/906268019327885312,id
mostafa4037,2017-09-09 4:24,0,0,الست لو احبت رجل ياعينى عليه,,,,906252034361450496,https://twitter.com/mostafa4037/status/906252034361450496,ar
Marawi_44,2017-09-09 4:14,0,0,الذكر عند الدخول المنزل:بسم الله ولجنا وبسم الله خرجنا http:// du3a.org /,,,,906249501970714625,https://twitter.com/Marawi_44/status/906249501970714625,ar
frelyasuncion,2017-09-09 4:08,0,0,gusto mo? Ipadala nalang kita sa marawi now para matuto kang lumaban din hahahahahaha,,,,906247922953498624,https://twitter.com/frelyasuncion/status/906247922953498624,fil
Marawi_44,2017-09-09 3:13,0,0,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين http:// du3a.org /,,,,906233939592957954,https://twitter.com/Marawi_44/status/906233939592957954,ar
kalyepinoy,2017-09-09 3:02,0,0,NAKAKAGULAT NA REBELASYON NG AFP CHIEF Naku,,,,,,fil
theOFDA,2017-09-09 2:57,2,2,~360,"(['Washington', ' DC'], Location((38.8949549, -77.0366456, 0.0)))",,,,,und
BelloMaestro,2017-09-09 2:57,0,0,Sa Marawi ? Si,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",,,906229995676323840,https://twitter.com/BelloMaestro/status/906229995676323840,fil
chris19thws,2017-09-09 2:30,0,0,Bakbakan sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
denisejoyy_,2017-09-09 1:57,0,0,marawi,,,,906214817127571456,https://twitter.com/denisejoyy_/status/906214817127571456,fil
bradleypoetry,2017-09-09 1:52,0,1,700 million pesos ang ibinigay ng USA para sa restoration ng Marawi . 6.4B naman ang ibinigay ng China para kay Du30. Shabu nga lang. auco na,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,906213670698442752,https://twitter.com/bradleypoetry/status/906213670698442752,fil
rsnowkar,2017-09-09 1:05,0,0,Abi marawi ile ilgili pek haber görmüyorum. sağlam kaynaklardan haber varmı?,"(['9. Gezegen'], Location((35.199919, 33.3677476, 0.0)))",,,906201728504262657,https://twitter.com/rsnowkar/status/906201728504262657,tr
bauerfilipino,2017-09-09 1:04,0,0,Kulang pa yan kaya hanggang ngayon di matapos laban sa marawi dapat pork barrels ng kongreso ibigay lahat sa mga sundalo,,,,906201664817741825,https://twitter.com/bauerfilipino/status/906201664817741825,fil
duterte_ism,2017-09-09 0:59,0,0,"PANOORIN: DATING MAYOR NG MARAWI CITY KAKAMPI"" ANG MGA TERORISTA. KAYA PALA HINDI MATAPOS TAPOS ANG GIYERA MAY... http:// ""","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,906200234107142144,https://twitter.com/duterte_ism/status/906200234107142144,fil
Marawi_44,2017-09-09 0:56,0,0,دعاء الرفع من الركوع:ربنا ولك الحمد حمداً كثيراً طيباً http:// du3a.org /,,,,906199581557489664,https://twitter.com/Marawi_44/status/906199581557489664,ar
dzrhnews,2017-09-09 0:55,0,0,Relief goods sa Maguindanao,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
GarudaNKRI01,2017-09-09 0:55,0,0,Kenapa tentara Filipina sampai sekarang tidak berhasil mebgambil alih Marawi . Karena mereka sangat berhati-hati sekali. Ya lama selesainya,,,,906199330469560320,https://twitter.com/GarudaNKRI01/status/906199330469560320,id
LouisRielFrance,2017-09-09 0:52,0,3,Et que pense l' de l'invasion des par les armées musulmanes et de l'occupation de ? Bizarrement,"(['Francophonie'], Location((-18.94055645, 47.5262924083, 0.0)))",,,,,fr
GarudaNKRI01,2017-09-09 0:51,0,0,Rakyat sipil dijadikan tameng oleh Mujaheed dan Arsa. Mereka berlindung ditempat warga biasa. Kasusnya hampir mirip di Marawi Philipina,,,,906198253238075393,https://twitter.com/GarudaNKRI01/status/906198253238075393,id
sola_ABDURAHMAN,2017-09-09 0:47,0,1,Kahapon,,,,,,fil
sbastian1978,2017-09-09 0:43,2,0,Dan itu ga bisa ya.. hahaha yg penting,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,,,id
sbastian1978,2017-09-09 0:39,0,0,Tujuannya jelas ini mau sukses bikin ya berdaulat harus tumpas kok dijadiin bahan https:// 905780632936005632 …,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,#teroris #ARSA #Marawi #pemerintah #GPK #donasi,906195336158265344,https://twitter.com/sbastian1978/status/906195336158265344,id
banderainquirer,2017-09-09 0:39,0,2,ICYMI: John Estrada gaganap na Marawi Hero sa MMK http://,"(['Makati City', ' Philippines'], Location((14.5591272, 121.0202094, 0.0)))",,,906195197356322817,https://twitter.com/banderainquirer/status/906195197356322817,fil
kennybxtch_,2017-09-09 0:29,0,2,si carol cancer sa buhay tong babae na to eh dapat ipadala to sa marawi eh,,,,906192865910329344,https://twitter.com/kennybxtch_/status/906192865910329344,fil
GalangJOVINO,2017-09-09 0:24,0,0,Marawi ex-mayor Solitario wag paniniwalaan; walang negosasyon sa Maute group – AFP,,,,906191418074341376,https://twitter.com/GalangJOVINO/status/906191418074341376,fil
jamesabelc,2017-09-09 0:18,0,1,Yung punyetang MRT,"(['Makati'], Location((14.55459465, 121.021407905, 0.0)))",,,,,fil
ARMAKdeODELOT,2017-09-09 0:15,0,0,FILIPINAS después de MARAWI http:// nas-despues-de-marawi.html … http://,"(['TOLEDO'], Location((41.6786754, -83.5127283, 0.0)))",,,906189302475960323,https://twitter.com/ARMAKdeODELOT/status/906189302475960323,es
phildaily,2017-09-09 0:09,0,0,PAGDARO SA KALINAW: Dureza's Betrayal and Duterte's Hypocrisy in Marawi - Minda News https://,,,,906187741960003584,https://twitter.com/phildaily/status/906187741960003584,ceb
ACF_France,2017-09-09 0:00,8,3,360 000 déplacés suite à la bataille de Marawi . L'accès à l'aide est devenu extrêmement compliqué http://,,,#Philippines,906185376267677697,https://twitter.com/ACF_France/status/906185376267677697,fr
