tambaysapayag,2017-09-05 23:49,0,0,Awit sa Marawi [Esang] Keziah version ... http://,"(['mahaplag', ' leyte', ' philippines'], Location((10.58255, 124.988459133, 0.0)))",,#Buwanngwika2017 #buwanngwika #wikangmapagbago #wikangpbansa #presentasyon,905095578203209728,https://twitter.com/tambaysapayag/status/905095578203209728,uz
kaiquimpo,2017-09-05 22:44,0,1,Para sa MARAWI,,,,905079295076319232,https://twitter.com/kaiquimpo/status/905079295076319232,fil
xyyaqeena,2017-09-05 22:42,4,4,Allahummansuril muslimeena wal muslimaat fee rohingya,"(['ph'], Location((12.44249325, 122.160395164, 0.0)))",,,,,ar
tebss_,2017-09-05 22:40,0,8,EZ love you batch Marawi Siege! 9,"(['iii \xc2\xb7 iv-a'], Location((49.099982, 17.4089925, 0.0)))",,,905078209615499264,https://twitter.com/tebss_/status/905078209615499264,fil
pandugood39,2017-09-05 22:38,0,1,Fokus nanti vs filipina. Ini filipina msh ada masalah sm konflik di marawi,"(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,,905077778566987776,https://twitter.com/pandugood39/status/905077778566987776,id
PYves_P,2017-09-05 22:38,0,0,: La bataille de marque ses 100 jours,"(['Du c\xc3\xb4t\xc3\xa9 de la Vie'], Location((43.5667705, 7.1333573, 0.0)))",,,,,fr
UtaraNews,2017-09-05 22:30,0,0,Tentera Filipina rampas senjata wanita dan kanak-kanak http:// a-filipina-rampas-senjata-wanita-dan-kanak-kanak.html/ … MARAWI CITY – Tentera Filipina,"(['Northern Region'], Location((2.797198, 32.2643949, 0.0)))",,,905075670753189888,https://twitter.com/UtaraNews/status/905075670753189888,ms
Eglasie,2017-09-05 22:27,0,0,: La bataille de Marawi marque ses 100 jours,,,,,,fr
ihLAYN,2017-09-05 22:27,0,3,maute ka no? haha Me: ssshhhh ako hinahanap nila akala nila nasa Marawi ako,"(['Lipa City'], Location((13.9405848, 121.1375424, 0.0)))",,,,,fil
AinahNicholeee,2017-09-05 22:19,1,1,ANAK KA NI GEMMA! KAGALING MO DIN ANO? KADAMI MONG ALAM,"(['Lipa City', ' Calabarzon'], Location((13.9405848, 121.1375424, 0.0)))",,,,,fil
sheynella,2017-09-05 22:09,0,3,Naabot mig marawi ni april HAHAHAHAHAHA,,,,905070473293176833,https://twitter.com/sheynella/status/905070473293176833,fil
Vincent_Mauleon,2017-09-05 22:08,0,0,marawi moto,"(['At My House'], Location((33.3940138, 44.3555913, 0.0)))",,,905070141716676608,https://twitter.com/Vincent_Mauleon/status/905070141716676608,fil
tatalaaa,2017-09-05 22:08,0,0,ares diyos ng marawi,,,,905070012745912320,https://twitter.com/tatalaaa/status/905070012745912320,fil
smnthjyflrs,2017-09-05 22:06,0,0,HAHAHAHAHAHAHAHA! Yung nasa Marawi ba,"(['MNL'], Location((14.5121499, 121.022046716, 0.0)))",,,905069650156728324,https://twitter.com/smnthjyflrs/status/905069650156728324,fil
stateofdnation,2017-09-05 22:04,0,0,Nailibing na sa isang mass grave ang 28 nasawi sa bakbakan sa Marawi . Anim sa kanila,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
CaraJongko,2017-09-05 22:03,0,0,Pwede sila ipadala sa marawi ?,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,905068768602107907,https://twitter.com/CaraJongko/status/905068768602107907,fil
NikkiGail_20,2017-09-05 22:01,0,1,sarap isako at itapon sa marawi . Haha tapos na.,,,,905068410802810881,https://twitter.com/NikkiGail_20/status/905068410802810881,fil
khy_calicalica,2017-09-05 21:53,0,1,tangina neto ni aimie papadala ko to sa marawi e,"(['rose / gab'], Location((37.34196985, -121.91009655, 0.0)))",,,905066453086355457,https://twitter.com/khy_calicalica/status/905066453086355457,fil
24OrasGMA,2017-09-05 21:42,0,0,VIDEO: 28 namatay sa bakbakan sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
fulvioschiavone,2017-09-05 21:39,0,0,Filippine: fosse comuni a Marawi http:// via,"(['Italia'], Location((42.6384261, 12.674297, 0.0)))",@NewsRepublicIta,,905062786753069057,https://twitter.com/fulvioschiavone/status/905062786753069057,it
JasperBoado,2017-09-05 21:32,1,0,malapit pa lang...pupunta na ako sa marawi makikipag bakbakan na ako dun!!haha TVCForJonaMarieSoquite,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@SunsilkPH,,905061197615046656,https://twitter.com/JasperBoado/status/905061197615046656,fil
chrmnbscn,2017-09-05 21:32,0,1,"kontemporaryong isyu"" us: depression","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
tteya60,2017-09-05 21:30,0,0,RT : RT : marawi sa AP,,,,,,fil
withDrewww,2017-09-05 21:25,0,5,Tara sa marawi,"(['PH'], Location((12.44249325, 122.160395164, 0.0)))",,,905059227953229825,https://twitter.com/withDrewww/status/905059227953229825,fil
de_Faqihudin,2017-09-05 21:20,0,0,Apakah penduduk Marawi dilenyapkan semua oleh Duterte. Tidak!! Duterte hanya melenyapkan Maute. Tapi Rohingya seperti mo dilenyapkan semua.,"(['Center Celebes'], Location((-34.0601797, 18.6019197, 0.0)))",,,905058151313022976,https://twitter.com/de_Faqihudin/status/905058151313022976,id
angelaroxas92,2017-09-05 21:15,0,0,so kelan ipapatapon sa marawi si papin?,,,,905056686628413440,https://twitter.com/angelaroxas92/status/905056686628413440,fil
keepcalmsaykape,2017-09-05 21:12,1,5,Nadale lg ung iba sa 16M nung una kc campaign period p un.Minus mo n ibang EJK & Marawi victims & fam. Yung iba,,,,,,fil
gieiaaaaa,2017-09-05 21:12,0,1,Hello kuyang taga marawi,,,,905055916126494721,https://twitter.com/gieiaaaaa/status/905055916126494721,fil
ARMAKdeODELOT,2017-09-05 21:09,2,1,FILIPINAS después de MARAWI http:// nas-despues-de-marawi.html …,"(['TOLEDO'], Location((41.6786754, -83.5127283, 0.0)))",,,905055239195242496,https://twitter.com/ARMAKdeODELOT/status/905055239195242496,es
claricedlcrz,2017-09-05 21:08,1,0,Walang kalaban laban! Ginanon niyo Padala kaya namin kayo sa Marawi !!!,"(['San Miguel', 'Bulacan'], Location((38.0286138, -108.4713606, 0.0)))",,#LaLunaSangreTorture #PushAwardsKathNiels,905055029584846848,https://twitter.com/claricedlcrz/status/905055029584846848,fil
KleinGabriyel_,2017-09-05 21:03,0,1,Grabe no makakahanap kabang marawi dun loko ata ngayon lang nag topic ng ganun haha,"(['Hagonoy', ' Central Luzon'], Location((14.8360221, 120.734792, 0.0)))",,,905053758303854592,https://twitter.com/KleinGabriyel_/status/905053758303854592,fil
krismorris21,2017-09-05 20:59,0,0,hindi bala hindi bomba sa marawi ang sagot hindi iisang dugo galit ang bumabalot mga walang kamuwang muwang kayakap ang luha at takot,,,,905052867102294016,https://twitter.com/krismorris21/status/905052867102294016,fil
marawi_93,2017-09-05 20:56,0,2,اليوم الي يتجمعو فيه كل احفاد بيتنا.. على أعصابي السلام,"(['Muscat', ' Oman'], Location((18.3717337, -72.2862809, 0.0)))",,,905051993399492608,https://twitter.com/marawi_93/status/905051993399492608,ar
JunandaF,2017-09-05 20:54,0,0,FPI membuka relawan jihadis buat membela rohingya Myanmar ato mau gabung ke kubu teroris Marawi,,,,,,id
9CharlesMorales,2017-09-05 20:49,0,0,Binibiro ni papa si mama sa marawi na daw sya magpapadestino,"(['Inside the court'], Location((42.2667591, 2.9615402, 0.0)))",,,,,fil
jjjjnne,2017-09-05 20:46,0,0,marawi kuno coy ￼,,,,905049457065992193,https://twitter.com/jjjjnne/status/905049457065992193,fil
larzmayxoxo,2017-09-05 20:45,1,0,sa marawi sya bagay! hahaha :p AlmiroSavingAvilasa,,,#MVRPakiusap,905049186881617920,https://twitter.com/larzmayxoxo/status/905049186881617920,fil
tvOneNews,2017-09-05 20:45,5,8,Kuburan massal di Marawi,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,,,id
xbelaxxi,2017-09-05 20:41,0,0,oo sarap padala sa marawi e ! https:// o/status/904953302688792578 …,,,,905048255263678465,https://twitter.com/xbelaxxi/status/905048255263678465,fil
KosmetikDinda,2017-09-05 20:39,1,1,Mujahidin Marawi Philipine lolos masuk myanmar,,,,905047672112930816,https://twitter.com/KosmetikDinda/status/905047672112930816,id
JaymszMB,2017-09-05 20:38,0,0,Hala Grabe.... Kung sa marawi to lusaw agad ang kalaban... http:// d,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#Bombastic,905047392612790272,https://twitter.com/JaymszMB/status/905047392612790272,fil
redmanaois,2017-09-05 20:34,0,0,di rin makatulong sa marawi,,,,905046587738472449,https://twitter.com/redmanaois/status/905046587738472449,fil
itspauloferrer,2017-09-05 20:31,0,2,SANA LUMUGAR KA SA MGA SINASABI MO HAYOP KA SAKIT MO MASYADONG MAG SALITA AMP. PADALA KITA SA MARAWI,"(['Lungsod ng Las Pi\xc3\xb1as', ' Pambansa'], Location((19.5309668, -99.0155772, 0.0)))",,,905045666493112320,https://twitter.com/itspauloferrer/status/905045666493112320,fil
pr5fkxz91FkQZqK,2017-09-05 20:30,0,0,ما دام أصل الناس يا ناس من طين ليھ إمتلينا ... كبر ... وأنتابنا غرور هذا وحنـا طين ... بـ الكبر مخطين وشلون ... لو حنا إنخلقنا من النور,,,,905045586029764609,https://twitter.com/pr5fkxz91FkQZqK/status/905045586029764609,ar
disruptivesigna,2017-09-05 20:28,0,0,I added a video to a playlist http:// 28 namatay sa bakbakan sa Marawi,"(['Worldwide'], Location((53.4573434, -2.22698994022, 0.0)))",,,,,fil
DZMMTeleRadyo,2017-09-05 20:04,1,6,Maute members sa Marawi,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
1MillionPHL,2017-09-05 20:04,0,0,The very latest news and videos updated every hour (28 namatay sa bakbakan sa Marawi,,,,,,fil
Emanbrucal,2017-09-05 20:01,0,1,Parang sasabak sa Marawi si Luis e HAHAHAHA,,,,905038151625859072,https://twitter.com/Emanbrucal/status/905038151625859072,fil
lahingpnoy,2017-09-05 19:47,0,0,Ang China magpapadala ng tone-toneladang shabu para sa Marawi . Ibenta daw sa mga adik para maging CASH. Alam na raw ni Paolo Duterte. https:// a/status/904956337213333504 …,"(['GPS'], Location((56.4420142, -4.0240324, 0.0)))",,,905034769871683584,https://twitter.com/lahingpnoy/status/905034769871683584,fil
micky_14,2017-09-05 19:45,0,0,hahah. .takte. x2 x2. d nya n ata mahal sarili nya c tita cguro ivvoice message n xa..hahah. pdala n ntn s marawi .kcng gulo ng jutaks nya,,,,905034138389962752,https://twitter.com/micky_14/status/905034138389962752,fil
PTVisMin,2017-09-05 19:45,0,0,: 28 bangkay mula sa Marawi City,,,,,,fil
dyelaidugayo,2017-09-05 19:42,0,1,Marawi,"(['Imus ', ' Cavite'], Location((14.4021133, 120.932366655, 0.0)))",,#PushAwardsJuanistas,905033381406138368,https://twitter.com/dyelaidugayo/status/905033381406138368,fil
MMKOfficial,2017-09-05 19:41,5,23,Lalong sinubok ang tatag ni Loloy nang dapuan ng sakit ang anak na si Brian sa gitna ng pagkaipit sa kaguluhan sa Marawi . 02,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,#MMKHopeForMarawi,905033116489678848,https://twitter.com/MMKOfficial/status/905033116489678848,fil
Politiko_Ph,2017-09-05 19:40,0,0,.,,,,,,und
ChristmasYV,2017-09-05 19:40,0,0,Mahear mo ang news about Marawi matululo lang luha mo Tama nna b,"(['PH'], Location((12.44249325, 122.160395164, 0.0)))",,,905032880652304385,https://twitter.com/ChristmasYV/status/905032880652304385,fil
LoweeysGarcia,2017-09-05 19:38,0,0,Ngano man tawn ni ang marawi oy wa paman mapul.i ug gira. Undang namo pls,"(['U B E C'], Location((53.4071332, -2.9553410449, 0.0)))",,,905032382889070593,https://twitter.com/LoweeysGarcia/status/905032382889070593,ceb
dyelaidugayo,2017-09-05 19:35,0,1,kapag naririnig ko yung marawi may naalala ko,"(['Imus ', ' Cavite'], Location((14.4021133, 120.932366655, 0.0)))",,#PushAwardsJuanistas,905031602324946944,https://twitter.com/dyelaidugayo/status/905031602324946944,fil
baaaneesaa,2017-09-05 19:34,0,0,grabe naman yung namatay sa marawi,"(['ojd'], Location((33.50672645, -102.003422, 0.0)))",,,905031327249866752,https://twitter.com/baaaneesaa/status/905031327249866752,fil
yssa_cae,2017-09-05 19:31,0,0,Dapat maganda ang pagkaayos ng Marawi a. Tignan natin kung san mapupunta yung pera ngayon. Hahahahah https:// tus/905028990376697860 …,"(['Quezon city'], Location((14.6509905, 121.0486155, 0.0)))",,,905030694304325632,https://twitter.com/yssa_cae/status/905030694304325632,fil
i3ryok,2017-09-05 19:31,0,0,Abdullah Maute,,,,,,hi
PTVph,2017-09-05 19:30,1,2,: Isnilon Hapilon,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,ceb
RJAPanlilioPhD,2017-09-05 19:26,0,0,Kanina sa may Journalism Training eklat ng Division,"(['San Fernando', ' Pampanga', ' PH.'], Location((16.9134645, -93.2203812019, 0.0)))",,,,,fil
BERITAMediaCorp,2017-09-05 19:24,0,0,Tentera Filipina di Marawi hadapi tentangan bersenjata dari kaum wanita,"(['Mediacorp', ' 1 Stars Avenue'], Location((1.29543415, 103.792257601, 0.0)))",,,,,ms
euronewsit,2017-09-05 19:23,0,0,Filippine: fosse comuni a Marawi http:// 9,"(['Europa'], Location((51.0, 10.0, 0.0)))",,,905028610943266817,https://twitter.com/euronewsit/status/905028610943266817,it
pin0y_tambayan,2017-09-05 19:23,0,0,HERO ng Marawi,,,,,,fil
News5AKSYON,2017-09-05 19:23,6,6,READ: Inanunsiyo US Ambassador Sung Kim na magbibigay ang Amerika ng P730-M na tulong para sa Marawi City. http:// ng-to-help-p730-m-na-tulong-para-sa-relief-operations-at-rehabilitasyon-ng-marawi-ibinigay-ng-us …,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,905028497407565824,https://twitter.com/News5AKSYON/status/905028497407565824,fil
AayrahAmerol,2017-09-05 19:22,0,0,Kailan pag babalik na tayo marawi ?,"(['MSU Marawi City'], Location((8.0025536, 124.2845393, 0.0)))",,,905028320529596417,https://twitter.com/AayrahAmerol/status/905028320529596417,fil
MbMendoza3,2017-09-05 19:15,0,0,Marawi hahahaha,"(['Pampanga', ' Philippines'], Location((15.0251068, 120.6870474, 0.0)))",,,905026619907096577,https://twitter.com/MbMendoza3/status/905026619907096577,fil
marlopni,2017-09-05 19:15,0,0,mayg sikaran mayg padala marawi may pag matakdan kag bird flu,,,,905026522146258945,https://twitter.com/marlopni/status/905026522146258945,ceb
exviem,2017-09-05 19:14,0,1,730 million for Marawi ! baka naman... kaloka wala na talagang kasiguraduhan kung gagamitin lahat.,"(['Puerto Galera', ' Mimaropa'], Location((13.4210722, 120.927904729, 0.0)))",,,905026407557775361,https://twitter.com/exviem/status/905026407557775361,fil
maichardtry,2017-09-05 19:14,0,0,SABI KO PA NAMAN MAGTATAGAL YUNG MARAWI SIEGE JUSKO LA NA TSENS MANALO,"(['Sta. Rosa & Sta. Maria'], Location((30.9496273, -86.8352375, 0.0)))",,,905026345209434112,https://twitter.com/maichardtry/status/905026345209434112,fil
iamjasper70,2017-09-05 19:13,0,0,730Million?!?!? Para sa marawi yan ha? Hindi para sa mga kupal! Hahaha nako,"(['Dasmarinas', ' Calabarzon'], Location((14.6455597, 120.9995684, 0.0)))",,,905026162941870080,https://twitter.com/iamjasper70/status/905026162941870080,fil
heymaaannnn,2017-09-05 19:10,0,1,isang batalyon na bakla ang dapat dalhin sa marawi,"(['White Sulphur Springs', ' WV'], Location((37.7965149, -80.2975734, 0.0)))",,,,,fil
24OrasGMA,2017-09-05 19:09,0,2,"Pinaghahandaan na ng militar ang kanilang final push"" na inaasahan nilang magiging pinakamadugong bakbakan laban sa Maute group sa Marawi . 2""","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,905025112478441472,https://twitter.com/24OrasGMA/status/905025112478441472,fil
Mhagoz,2017-09-05 19:09,8,1,Puro kaguluhan sa marawi AlmiroSavingAvila KapusoBrigade,"(['Marilao', ' Rehiyon ng Gitnang Lu'], Location((14.756562, 120.9475324, 0.0)))",,#ARHHerederangIris,905025095608836096,https://twitter.com/Mhagoz/status/905025095608836096,fil
jhenguban31,2017-09-05 19:09,1,0,Ang dami ng namatay dahil sa gulo sa Marawi AlmiroSavingAvila KapusoBrigade,,,#SaimdangKompetisyon,905024961848393730,https://twitter.com/jhenguban31/status/905024961848393730,fil
heymaaannnn,2017-09-05 19:08,0,1,dapat di na mga militar ipadala sa marawi e,"(['White Sulphur Springs', ' WV'], Location((37.7965149, -80.2975734, 0.0)))",,,905024896412950528,https://twitter.com/heymaaannnn/status/905024896412950528,fil
heymaaannnn,2017-09-05 19:08,0,1,di na natapos yug krisis sa marawi,"(['White Sulphur Springs', ' WV'], Location((37.7965149, -80.2975734, 0.0)))",,,905024818445090816,https://twitter.com/heymaaannnn/status/905024818445090816,fil
jhenguban31,2017-09-05 19:08,1,0,Buo pa yung isang Mosque sa Marawi AlmiroSavingAvila KapusoBrigade,,,#SaimdangKompetisyon,905024763063447552,https://twitter.com/jhenguban31/status/905024763063447552,fil
Mhagoz,2017-09-05 19:07,3,1,Hala magiging madugong labanan ang mangyayari sa marawi AlmiroSavingAvila KapusoBrigade,"(['Marilao', ' Rehiyon ng Gitnang Lu'], Location((14.756562, 120.9475324, 0.0)))",,#ARHHerederangIris,905024631089664001,https://twitter.com/Mhagoz/status/905024631089664001,fil
mhounic,2017-09-05 19:02,0,0,Sa marawi man daw yun ipadala ang nanalo ser hahahaha jk,,,,905023202774048768,https://twitter.com/mhounic/status/905023202774048768,fil
yaelkainix,2017-09-05 19:01,0,0,Otw to marawi .,"(['Caloocan City.'], Location((14.6815301, 121.0089111, 0.0)))",,,905023081462116352,https://twitter.com/yaelkainix/status/905023081462116352,fil
iamrhojj,2017-09-05 18:56,0,0,Buti nlang hndi sya naging Child war ng mga Maute sa Marawi http://,"(['Binalonan pangasinan'], Location((16.0444475, 120.5917707, 0.0)))",,,905021893073395716,https://twitter.com/iamrhojj/status/905021893073395716,fil
ilovemindanao,2017-09-05 18:52,0,1,MsU marawi dn ako.wag mng pg malaki.yang UP tax ko bumubuhay dyan kaming mga ampatuan..,,,,905020764193042433,https://twitter.com/ilovemindanao/status/905020764193042433,fil
ginolopezlopez,2017-09-05 18:50,0,0,Ang Division Level daw ay gaganapin sa Marawi Pucha,"(['Asgard'], Location((35.069364, -106.731569, 0.0)))",,,905020334293753857,https://twitter.com/ginolopezlopez/status/905020334293753857,fil
evanross47,2017-09-05 18:50,0,0,di pa nga tapos yung nangyayari sa Marawi makikipagsabayan pa kayo sa barilan dun,"(['Santa Rosa City', ' Calabarzon'], Location((14.15968985, -90.3215051042, 0.0)))",,,905020305457815552,https://twitter.com/evanross47/status/905020305457815552,fil
transdyosa21,2017-09-05 18:49,0,0,Ginoo ko hahahahaha ano na? Ipadala na nako tanang bayot sa Marawi kay ako na ang daog? Hahahahahaha,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,905020145080221696,https://twitter.com/transdyosa21/status/905020145080221696,ceb
HannahalyssaK,2017-09-05 18:48,0,1,Sarap itapon sa marawi yung mga plastik na kaibigan.,"(['sa amin'], Location((29.9047263, 76.8673691, 0.0)))",,,905019789399138304,https://twitter.com/HannahalyssaK/status/905019789399138304,fil
HannahalyssaK,2017-09-05 18:48,0,1,Kaya nga eh sarap itapon sa marawi,"(['sa amin'], Location((29.9047263, 76.8673691, 0.0)))",,,905019743844810752,https://twitter.com/HannahalyssaK/status/905019743844810752,fil
dzbb,2017-09-05 18:47,0,0,Ayon kay Lorenzana,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
dzbb,2017-09-05 18:47,0,0,P50B ang kailangan para maibangon ang Marawi City ayon kay Lorenzana . |,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@nimfaravelo,,905019518266642432,https://twitter.com/dzbb/status/905019518266642432,fil
24OrasGMA,2017-09-05 18:46,0,2,Ikinwento ng ilang sundalo ang mga pinagdaanan nila sa mahigit tatlong buwan nang bakbakan sa Marawi .,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,905019422586241024,https://twitter.com/24OrasGMA/status/905019422586241024,fil
erome_,2017-09-05 18:46,0,2,Pansinin niyo naman po yung gera sa marawi,"(['Neverland.'], Location((36.548132, -121.919599, 0.0)))",,,,,fil
dzbb,2017-09-05 18:45,0,1,Sa unang hearing ng Senate special committee on Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
nimfaravelo,2017-09-05 18:45,0,0,Sinabi ni Lorenzana na nasa P50B ang kailangan para maibangon ang Marawi City.,,@dzbb,,905018950999719936,https://twitter.com/nimfaravelo/status/905018950999719936,fil
decastroains,2017-09-05 18:45,0,0,sarap nila ipadala sa marawi bb! hahahah,"(['Batangas'], Location((13.916453, 121.0864884, 0.0)))",,,905018935187095552,https://twitter.com/decastroains/status/905018935187095552,fil
PaginaNuova,2017-09-05 18:42,0,0,EURONEWS - Filippine: fosse comuni a Marawi . c GOWFU …,"(['Torino', ' Italy'], Location((45.0677551, 7.6824892, 0.0)))",,#PaginaNuova #Press,905018263515656193,https://twitter.com/PaginaNuova/status/905018263515656193,it
newsaction_,2017-09-05 18:39,0,0,"RT inews2day Filippine: fosse comuni a Marawi https:// ippine-fosse-comuni-a-marawi/ … """"","(['#World'], Location((32.8548259, -117.2041575, 0.0)))",,,905017575192625152,https://twitter.com/newsaction_/status/905017575192625152,it
maxuel84,2017-09-05 18:39,0,0,|| NeWs.FlasH || News | Euronews RSS - Filippine: fosse comuni a Marawi Sepolti 28 corpi su una collina a Marawi C… http:// u,"(['Napoli'], Location((40.8359336, 14.2487826, 0.0)))",,,905017451204808704,https://twitter.com/maxuel84/status/905017451204808704,it
RadioLondra_,2017-09-05 18:38,0,0,Qui Radio Londra: Filippine: fosse comuni a Marawi http:// u,"(['Europa centrale'], Location((46.0566315, 13.2426812, 0.0)))",,,905017240382300160,https://twitter.com/RadioLondra_/status/905017240382300160,it
transnazionale,2017-09-05 18:36,0,0,Filippine: fosse comuni a Marawi informa http:// u,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",,#spaziotransnazionale,905016737975984130,https://twitter.com/transnazionale/status/905016737975984130,it
MariaCtaylan,2017-09-05 18:33,0,0,Ewan ko ba mga tao ngayon. Kung di man barilan sa marawi,"(['Manila City', ' National Capital'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
gellalfonso,2017-09-05 18:32,0,0,Kaning mga police maypa ilabay sa marawi kay ganahan man diay kaayo sila mupatayg tao,"(['Cebu', ' Philippines'], Location((10.45, 123.84, 0.0)))",,,905015880441933824,https://twitter.com/gellalfonso/status/905015880441933824,ceb
hxxxxsxxx,2017-09-05 18:31,0,1,malayo ang narating ng tulong mo kob HAHAHAHA abot marawi,,,,905015404740751360,https://twitter.com/hxxxxsxxx/status/905015404740751360,fil
RenchFriess,2017-09-05 18:28,0,1,Marawi sabay sabay nating ibabangon,,,,905014850950094848,https://twitter.com/RenchFriess/status/905014850950094848,fil
VillanuevaYsaaa,2017-09-05 18:04,0,0,"HAHAHHAHAHA HI HI LIVE HERE IN MARAWI "" *screaming and putok sounds*""",,,,905008684719194112,https://twitter.com/VillanuevaYsaaa/status/905008684719194112,fil
suhoawesam,2017-09-05 17:43,0,1,Tangina ipadala 'to sa Marawi dali,"(['+63'], Location((51.2637794, 102.9668439, 0.0)))",,,905003344246091778,https://twitter.com/suhoawesam/status/905003344246091778,fil
