stygianirone,2017-07-13 23:58,0,0,"Good evening, ma'am! Reflection po sa Dispatches from Marawi hehe.",,@DiNaProfMSSyj,,885528895797186560,https://twitter.com/stygianirone/status/885528895797186560,fil
PresPoliticsPh,2017-07-13 23:22,0,0,"LUMILIYAB NA BALITA MARAWI LATEST NEWS JULY 14, 2017: via YouTube","(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",@,,885519917168160768,https://twitter.com/PresPoliticsPh/status/885519917168160768,fil
PresPoliticsPh,2017-07-13 23:22,0,0,"I added a video to a YouTube playlist LUMILIYAB NA BALITA MARAWI LATEST NEWS JULY 14, 2017","(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",@,,885519879553593345,https://twitter.com/PresPoliticsPh/status/885519879553593345,fil
DZMMTeleFeed,2017-07-13 23:18,0,0,"Natitirang Maute members sa Marawi, nasa 70 pa",,,,885518685074595841,https://twitter.com/DZMMTeleFeed/status/885518685074595841,fil
Politiko_Ph,2017-07-13 23:16,0,0,LOOK: Mana kay mama! Tricia Robredo visits Marawi evacuees in Iligan,,,,885518180789125121,https://twitter.com/Politiko_Ph/status/885518180789125121,fil
iJUANder_NEWSTV,2017-07-13 23:14,0,2,"Hindi man baril ating hawak, wala man tayo mismo sa Marawi, sa sarili nating paraan - may…","(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,885517911737192448,https://twitter.com/iJUANder_NEWSTV/status/885517911737192448,fil
StrixicateD,2017-07-13 23:12,0,0,"Mas mabuti ikaw nasa Marawi, dami mong putak, writer daw pero parang chismis lang kinuha laman ng mga tweet mo. tangina this. hahaha","(['Central Visayas'], Location((10.264054, 123.869395973, 0.0)))",,,885517339550023680,https://twitter.com/StrixicateD/status/885517339550023680,fil
egdsgn,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885516405424238592,https://twitter.com/egdsgn/status/885516405424238592,fil
muzi_kha,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885516400319713281,https://twitter.com/muzi_kha/status/885516400319713281,fil
chris19thws,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885516394800046080,https://twitter.com/chris19thws/status/885516394800046080,fil
PoGo_Port,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City",,,,885516388747620353,https://twitter.com/PoGo_Port/status/885516388747620353,fil
orga_ogop,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City",,,,885516382972108800,https://twitter.com/orga_ogop/status/885516382972108800,fil
RTheKrak3n,2017-07-13 23:08,0,0,"DSWD, patuloy ang pag bibigay ayuda sa mga bakwit sa Marawi City",,,,885516376231866372,https://twitter.com/RTheKrak3n/status/885516376231866372,fil
DaphSoriano,2017-07-13 23:08,5,48,gusto ko sanang imessage si mayor na isuspend ang classes ng maaga kaso baka bigla akong papuntahin sa marawi,,,,885516210829377537,https://twitter.com/DaphSoriano/status/885516210829377537,fil
DZMMTeleFeed,2017-07-13 23:08,0,1,"Anim na labi ng sibilyan, narekober ng government troops sa Marawi",,,,885516170421469184,https://twitter.com/DZMMTeleFeed/status/885516170421469184,fil
argesh_suta,2017-07-13 23:07,0,0,Jangan sampe deh mpok...liat yg terbaru di kota marawi aje gue udah merinding. Itungan menit itu kota jd sepi dan hancur,,,,885515911381229568,https://twitter.com/argesh_suta/status/885515911381229568,id
injelingg,2017-07-13 23:03,0,0,Ainaww inikadale akn dn tanto a marawi. So Allah na mala e limo.,,,,885514940202663937,https://twitter.com/injelingg/status/885514940202663937,fil
egdsgn,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885514517098188800,https://twitter.com/egdsgn/status/885514517098188800,fil
muzi_kha,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885514511591116800,https://twitter.com/muzi_kha/status/885514511591116800,fil
chris19thws,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885514506234871808,https://twitter.com/chris19thws/status/885514506234871808,fil
PoGo_Port,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC",,,,885514500975329282,https://twitter.com/PoGo_Port/status/885514500975329282,fil
orga_ogop,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC",,,,885514494285361152,https://twitter.com/orga_ogop/status/885514494285361152,fil
RTheKrak3n,2017-07-13 23:01,0,0,"P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC",,,,885514483854180352,https://twitter.com/RTheKrak3n/status/885514483854180352,fil
iqueen1424,2017-07-13 23:00,0,0,"Wala na kming babalikan sa marawi, nabombahan na ang bahay namin huhu","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885514274428207104,https://twitter.com/iqueen1424/status/885514274428207104,fil
CheezBels,2017-07-13 22:58,0,0,Putangina gapamikil na maguwang. Lami ilabay sa marawi og ipa sniper sa maute!,"(['Accounting department'], Location((41.1488629, -81.3479851, 0.0)))",,,885513760563015680,https://twitter.com/CheezBels/status/885513760563015680,ceb
DZMMTeleFeed,2017-07-13 22:58,0,0,"Napatay na sibilyan sa bakbakan sa Marawi, 45 na",,,,885513650261422080,https://twitter.com/DZMMTeleFeed/status/885513650261422080,fil
ReyesRhegz,2017-07-13 22:56,0,0,ipadala sa marawi ang mga iresponsableng ama charot hihi,"(['Binan City', ' Calabarzon'], Location((46.4518401, 5.3013083, 0.0)))",,,885513362116820992,https://twitter.com/ReyesRhegz/status/885513362116820992,fil
ReyesRhegz,2017-07-13 22:55,0,0,ipadala yan sa marawi haha,"(['Binan City', ' Calabarzon'], Location((46.4518401, 5.3013083, 0.0)))",,,885513000458764288,https://twitter.com/ReyesRhegz/status/885513000458764288,fil
itsmedayleee,2017-07-13 22:54,0,0,padala q sa marawi,,,,885512703053148160,https://twitter.com/itsmedayleee/status/885512703053148160,fil
almimco,2017-07-13 22:53,0,1,Sana lang hayaan ng gov't maging normal mga buhay namin dito sa Lanao.Tama na po ang bakbakan prayforMarawi,"(['Manila', 'Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,885512629489352704,https://twitter.com/almimco/status/885512629489352704,fil
MykeMatalines,2017-07-13 22:53,0,0,Naunsa na kaha ang Marawi.,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,885512408810139650,https://twitter.com/MykeMatalines/status/885512408810139650,ceb
iqueen1424,2017-07-13 22:49,0,0,Naiiyak nlng talaga ako sa mga news tungkol sa marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885511529348583425,https://twitter.com/iqueen1424/status/885511529348583425,fil
AubreyShibuya,2017-07-13 22:46,0,0,Sarap ipatapon sa marawi e,"(['Matsudo-shi ', ' Chiba Japan'], Location((35.785213, 139.913356, 0.0)))",,,885510839054348290,https://twitter.com/AubreyShibuya/status/885510839054348290,fil
gerconstancia,2017-07-13 22:46,0,0,PAWALK SA MARAWI SI SHAI CHAROT,,,,885510744539779073,https://twitter.com/gerconstancia/status/885510744539779073,fil
def_filipino,2017-07-13 22:45,0,0,Gagawin umano ng AFP ang lahat ng makakaya nito upang tapusin ang krisis sa Marawi City sa loob ng labinlimang araw.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885510389647241216,https://twitter.com/def_filipino/status/885510389647241216,fil
x_inii,2017-07-13 22:43,0,0,الحمدالله فِ احد معي .,,,,885510016899350528,https://twitter.com/x_inii/status/885510016899350528,ar
yuhee02_,2017-07-13 22:42,3,1,Pra nga lagi nsa marawi ei lagi my gyera lol ..pero yaan n ntin GV GV nlng tayo ARomanticNightWith MAYWARD,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885509850590978048,https://twitter.com/yuhee02_/status/885509850590978048,fil
egdsgn,2017-07-13 22:42,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885509644747145216,https://twitter.com/egdsgn/status/885509644747145216,fil
muzi_kha,2017-07-13 22:42,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885509639823032320,https://twitter.com/muzi_kha/status/885509639823032320,fil
chris19thws,2017-07-13 22:42,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885509633510703105,https://twitter.com/chris19thws/status/885509633510703105,fil
PoGo_Port,2017-07-13 22:42,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City",,,,885509624824254464,https://twitter.com/PoGo_Port/status/885509624824254464,fil
orga_ogop,2017-07-13 22:41,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City",,,,885509619384188930,https://twitter.com/orga_ogop/status/885509619384188930,fil
RTheKrak3n,2017-07-13 22:41,0,0,"Pres. Duterte, tiniyak ang tulong sa Marawi City",,,,885509610697895936,https://twitter.com/RTheKrak3n/status/885509610697895936,fil
egdsgn,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885509483958603776,https://twitter.com/egdsgn/status/885509483958603776,fil
muzi_kha,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885509478719815684,https://twitter.com/muzi_kha/status/885509478719815684,fil
chris19thws,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885509473351151617,https://twitter.com/chris19thws/status/885509473351151617,fil
PoGo_Port,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City",,,,885509468322181121,https://twitter.com/PoGo_Port/status/885509468322181121,fil
orga_ogop,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City",,,,885509462500495360,https://twitter.com/orga_ogop/status/885509462500495360,fil
RTheKrak3n,2017-07-13 22:41,0,0,"Anim sibilyan, natagpuang patay sa Marawi City",,,,885509452492832769,https://twitter.com/RTheKrak3n/status/885509452492832769,fil
marawi_5,2017-07-13 22:41,0,0,اي بالضبط,,,,885509427301953539,https://twitter.com/marawi_5/status/885509427301953539,ar
VOLLEYBESH,2017-07-13 22:40,0,0,Imbes nagpapahinga nalang sa bahay tong matanda to. Nandito sa twitter at nag iingay buti sana kung nakakatulong sa marawi.,,,,885509221189431297,https://twitter.com/VOLLEYBESH/status/885509221189431297,fil
phl_mayward,2017-07-13 22:39,3,1,Hahahahahaha bushak marawi lng ARomanticNightWith MAYWARD,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885508923603562497,https://twitter.com/phl_mayward/status/885508923603562497,fil
unilubis,2017-07-13 22:37,0,0,SAKSIKAN : Kapolri: Jangan ada image konflik di Marawi adalah perang agama via RapplerIDhttp://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",@,,885508581138812934,https://twitter.com/unilubis/status/885508581138812934,id
hapeeshart,2017-07-13 22:34,0,1,na walwal na laged o masusuwaa ka sii sa marawi hahahaha,,,,885507822695350274,https://twitter.com/hapeeshart/status/885507822695350274,fil
KURUKUTOK15,2017-07-13 22:33,0,1,"Akala ko sa Marawi lang yung gyera, umabot narin pala dito sa TW. Love love lang po sana FAM.",,,,885507358134120448,https://twitter.com/KURUKUTOK15/status/885507358134120448,fil
antaratvjakarta,2017-07-13 22:31,0,0,Mengantisipasi Pergerakan Teroris Marawi Lewat Udaraa: melalui YouTube,"(['Wisma antara'], Location((-6.1815257, 106.824116877, 0.0)))",@,,885506904767823873,https://twitter.com/antaratvjakarta/status/885506904767823873,id
PTVph,2017-07-13 22:30,0,2,"UlatBayan: Anim na sibilyan, natagpuang patay sa Marawi City","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885506607450292226,https://twitter.com/PTVph/status/885506607450292226,fil
PTVisMin,2017-07-13 22:30,0,0,"UlatBayan: Anim na sibilyan, natagpuang patay sa Marawi City",,,#,885506603163701248,https://twitter.com/PTVisMin/status/885506603163701248,fil
iamKinnithWallz,2017-07-13 22:27,0,0,Marawi?,"(['Cavite\xc3\xb1o'], Location((14.3166489, 120.8743997, 0.0)))",,,885506005110358016,https://twitter.com/iamKinnithWallz/status/885506005110358016,fil
callmeoinky,2017-07-13 22:25,0,0,BV KAY KO GE SUROY NAMO NI DADDY ANG MARAWI GAMIT ANG PRESIDENTIAL JET HUHU SAD,"(['Chill Corner'], Location((52.8754903, -6.2650896, 0.0)))",,,885505440502521856,https://twitter.com/callmeoinky/status/885505440502521856,fil
News5AKSYON,2017-07-13 22:24,1,1,NEWS5 EXCLUSIVE | Kuha ng lugar na nabagsakan ng bomba mula sa sumablay na airstrike sa Marawi | KatherineImsonhttp://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,,885505331194806273,https://twitter.com/News5AKSYON/status/885505331194806273,fil
emediamo,2017-07-13 22:24,0,0,10 MAGA PAMILYA O 52 MAGA INDIVIDUAL MAGA EVACUEES DESDE MARAWI CITY EL YA MAN BIO PROFILING EL TETUAN POLICE...,"(['RBB Building', ' Villa Teresa', ' ZC'], Location((52.342398, 14.5520171, 0.0)))",,,885505210210295808,https://twitter.com/emediamo/status/885505210210295808,es
justNamjoonKim,2017-07-13 22:23,0,1,Magulo na sa Marawi magulo din dito..makatulog na nga lng!,,,,885505064936198144,https://twitter.com/justNamjoonKim/status/885505064936198144,fil
Blockebuster,2017-07-13 22:21,1,1,Itong mga bakla nato at matatabang baboy ang kakapal ng mukha. Nakaka gigil kayo. Patapon ko kayo sa marawi.,"(['Syria'], Location((34.6401861, 39.0494106, 0.0)))",,,885504523371921408,https://twitter.com/Blockebuster/status/885504523371921408,fil
LiniKota,2017-07-13 22:20,1,22,Angkatan Laut RI-Filipina Latihan Perang Tangkal ISIS Marawi TangkalISIS,,,#,885504321919393795,https://twitter.com/LiniKota/status/885504321919393795,ms
ElshintaDotCom,2017-07-13 22:18,0,0,Menhan akan koordinasi ke DPR untuk kirim tentara ke Marawi,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,885503658430873600,https://twitter.com/ElshintaDotCom/status/885503658430873600,id
_ceejaypuedan,2017-07-13 22:15,0,0,"uber driver naka tune-in sa news, all i'm hearing is puro bad news.. pinalaya ang kriminal, marawi death tolls, hays! wala ba good news?","(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,885502917846777856,https://twitter.com/_ceejaypuedan/status/885502917846777856,fil
odelimasofi,2017-07-13 22:13,0,0,Funny. Si Lascanas pwedeng ikanlong ng senador. Si Marcos kinakanlong daw ng pangulo. Nice play. Nice script. While soldiers fight in Marawi,,,,885502483467874304,https://twitter.com/odelimasofi/status/885502483467874304,fil
CampotoCamille,2017-07-13 22:13,0,0,"Masasaktan ka lang tine, patapon nalanh natin sa marawi",,,,885502396247425025,https://twitter.com/CampotoCamille/status/885502396247425025,fil
MsVillain_,2017-07-13 22:12,6,13,"Inabot hanggang Marawi ang reply ano? Nagmamahal, Maute.","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885502088196886529,https://twitter.com/MsVillain_/status/885502088196886529,fil
kicauan_sehat,2017-07-13 22:11,0,0,Indo_oversight: IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,,,,885502053371531264,https://twitter.com/kicauan_sehat/status/885502053371531264,id
intanAza90,2017-07-13 22:10,0,0,Indo_oversight: IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,"(['kelapa gading'], Location((-6.15997585, 106.902442539, 0.0)))",,,885501701427474433,https://twitter.com/intanAza90/status/885501701427474433,id
machiavelli_gr,2017-07-13 22:09,0,0,"Απ τη στιγμή π στο Marawi δεν υπάρχει πλέον άμαχος πληθυσμός,η πόλη θ έπρεπε ήδη να χει ισοπεδωθεί,πριν IK εξαπλωθεί στο υπόλοιπο Mindanao",,,#,885501549522366465,https://twitter.com/machiavelli_gr/status/885501549522366465,el
masbee80,2017-07-13 22:09,0,0,Indo_oversight: IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,"(['Cengkareng', ' Indonesia'], Location((-6.1528985, 106.744718237, 0.0)))",,,885501536813682688,https://twitter.com/masbee80/status/885501536813682688,id
jsh_reid,2017-07-13 22:09,5,33,Sana dis school year dalawa na cashier sa NBS frens Mas mahaba pa pila sa NBS kesa sa bigayan ng relief goods sa Marawi eh.,,,,885501472036737025,https://twitter.com/jsh_reid/status/885501472036737025,fil
Dadangjelek,2017-07-13 22:08,0,0,Indo_oversight: IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,,,,885501223239069697,https://twitter.com/Dadangjelek/status/885501223239069697,id
kopi_q_hitam,2017-07-13 22:07,0,0,Indo_oversight: IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,,,,885501029214818304,https://twitter.com/kopi_q_hitam/status/885501029214818304,id
katt_man,2017-07-13 22:07,0,0,"Ipasita ko sana pero sige nalang. Infairness, maganda boses ni sir. Kidding aside, hoping that Marawi Siege ends soon & Martial Law lifted.",,,,885501011585937408,https://twitter.com/katt_man/status/885501011585937408,fil
Indo_oversight,2017-07-13 22:07,0,0,IndoOversight: Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,,,,885500858414374912,https://twitter.com/Indo_oversight/status/885500858414374912,id
IndoOversight,2017-07-13 22:06,0,0,Menhan Siap Koordinasi Pengiriman Pasukan TNI ke Marawi -,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,885500750675058688,https://twitter.com/IndoOversight/status/885500750675058688,id
bandila,2017-07-13 22:06,2,3,"Airstrike sa Marawi City, patuloy sa kabila ng panibagong insidente ng friendly fire na ikinamatay ng dalawang sundalo","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,885500740604526592,https://twitter.com/bandila/status/885500740604526592,fil
marawi_5,2017-07-13 22:06,0,0,اجعل رسالتك بناءة :) صراحة sarahah_comhttps://Marawiy12.sarahah.com,,@,#,885500563747733504,https://twitter.com/marawi_5/status/885500563747733504,ar
ElfArmyPiggy,2017-07-13 22:02,0,0,raissawriter buwis buhay ka rin dun for REAL COVERAGE and REAL REPORT ABOUT MARAWI AND THE PEOPLE,,@,,885499649057894401,https://twitter.com/ElfArmyPiggy/status/885499649057894401,fil
YellowTardspwe,2017-07-13 22:02,0,0,Dyusko po lola raissa mag move na kayo ohhhh. Kng tumolong ka din kaya dun sa Marawi. Nd yung wala ka ng natutulong ng sisira kapa lola.,,,,885499567973830661,https://twitter.com/YellowTardspwe/status/885499567973830661,fil
not_Allysa,2017-07-13 22:00,0,4,Ka hilak jud ko atong scene oi na ki guba ang simbahan ki pusil ang mama mary nya ki sunog ang crucifix kay maka remember kos Marawi,,,,885499299970260993,https://twitter.com/not_Allysa/status/885499299970260993,fil
violently_gummy,2017-07-13 22:00,20,15,"Ang tatapang natin, bkit di nlng kaya tayo ang ipadala sa Marawi noh.. nyahahahaha ARomanticNightWith MAYWARD","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885499216826515458,https://twitter.com/violently_gummy/status/885499216826515458,fil
ReportersNBGMA7,2017-07-13 22:00,0,0,"Sa drone footage naman bago mangyari ang krisis, makikita ang dating hitsura ng Marawi City. Makalipas ang...","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885499157334564864,https://twitter.com/ReportersNBGMA7/status/885499157334564864,fil
DZMMTeleRadyo,2017-07-13 22:00,1,1,"Air strikes ng gobyerno sa Marawi, sumablay man, tuloy pa rin MarawiClash U","(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,#,885499060039278592,https://twitter.com/DZMMTeleRadyo/status/885499060039278592,fil
MipalarHannah,2017-07-13 21:59,0,0,Totoo naman kase. Itapon na sa marawi a kitde,"(['Nueva Ecija'], Location((15.583333, 121.0, 0.0)))",,,885498935531327489,https://twitter.com/MipalarHannah/status/885498935531327489,fil
joselening,2017-07-13 21:59,0,0,kawawa naman yung family ng kababayan kung taga Pinamalayan na sniper sa marawi,"(['pasay city philippines'], Location((14.5437592, 120.9954657, 0.0)))",,,885498802588844033,https://twitter.com/joselening/status/885498802588844033,fil
JoSealtiel,2017-07-13 21:57,0,1,"Mabasa ko sana ang dispatches from Marawi, hopefully",,,,885498432453885952,https://twitter.com/JoSealtiel/status/885498432453885952,fil
shekyshakey,2017-07-13 21:57,0,2,Kada btaw naa ko'y problema tas gkapoy nako? Gahuna hunaon lang nako ang mga tawo ug sundalo sa Marawi. Dah! Naulaw akong problema uy,"(['CAGAYAN \xe2\x80\xa2 CEBU'], Location((8.47658335, 124.642950294, 0.0)))",,,885498402091302913,https://twitter.com/shekyshakey/status/885498402091302913,ceb
Muy_neiB,2017-07-13 21:57,0,10,"Pumunta na sya dun. Ikaw nalang wala. Anong klaseng investigative journalist"" ka di mo alam na bumisita ng Marawi si Digong""","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885498337763377153,https://twitter.com/Muy_neiB/status/885498337763377153,fil
randopanerio,2017-07-13 21:54,0,2,ano ang ginawa mo para sa mga bakwit na taga marawi? puro ka reklamo,"(['Davao Region', ' Republic of the'], Location((7.0645241, 125.6084143, 0.0)))",,,885497593295388672,https://twitter.com/randopanerio/status/885497593295388672,fil
RoiGalfo,2017-07-13 21:53,0,0,raissawriter how to be you po? Lakas po bg loob nyo mag comment againts president Duterte and his family. tara punta tayo dalawa sa marawi,"(['Valenzuela City', ' Philippines'], Location((37.7751808, -4.220174, 0.0)))",@,,885497477662621696,https://twitter.com/RoiGalfo/status/885497477662621696,fil
LloydCosmiano,2017-07-13 21:52,0,3,Si indaysara ba tinutukoy mo tanda? Kelan pa naging sakop ng Davao ang Marawi?buploks! di na kailangan ng publicity para tumulong! Gago!,"(['Manila Philippines'], Location((14.5906216, 120.9799696, 0.0)))",@,,885497130529333250,https://twitter.com/LloydCosmiano/status/885497130529333250,fil
dzrhnews,2017-07-13 21:51,0,0,"Umano'y 'execution spot' sa Marawi, nadiskubre RHBalitaAgad","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,885496790937608196,https://twitter.com/dzrhnews/status/885496790937608196,fil
RILISonline,2017-07-13 21:50,0,0,Menhan Izinkan TNI Kirim Pasukan ke Marawi,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,885496537257623553,https://twitter.com/RILISonline/status/885496537257623553,id
RakaFMBandung,2017-07-13 21:49,0,0,"InfoRaka Di KTT G20, Jokowi Bicara soal Wilayah Marawi yang Dikuasai ISIS","(['Bandung West Java'], Location((-6.9344694, 107.6049539, 0.0)))",,#,885496493234208768,https://twitter.com/RakaFMBandung/status/885496493234208768,id
04Nelvince,2017-07-13 21:45,0,0,Ang marawi sa jud tama na unta ang gira!!,,,,885495427763552256,https://twitter.com/04Nelvince/status/885495427763552256,fil
grampsyyyy,2017-07-13 21:44,0,1,Kala nya kinaganda nya buhok nya.!! Tapon kita sa marawi try modaw e apply Yang ka kiat mo!!,"(['Davao City'], Location((7.22650725, 125.454887691, 0.0)))",,,885495072686354432,https://twitter.com/grampsyyyy/status/885495072686354432,fil
