egdsgn,2017-08-24 23:58,0,0,PNP headquarters sa Marawi City,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
feapollo,2017-08-24 22:32,0,0,TRUE BILISAN NIYO ANG IMBISTIGASYON AT NG MAITULONG SA MARAWI ANG HIDDEN WEALTH NIYA http://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900727611965530112,https://twitter.com/feapollo/status/900727611965530112,fil
mmnk200,2017-08-24 22:29,0,0,اف يازين كلامك العسل ياعسل,,,,900726881468596225,https://twitter.com/mmnk200/status/900726881468596225,ar
katesizzIe,2017-08-24 22:28,0,0,Can some fanwars exit my tl...jusmeyo...ipadala ko kau as Marawi at dun kayo magrambolan,"(['MNL', ' Ph'], Location((14.5121499, 121.022046716, 0.0)))",,,900726391099973634,https://twitter.com/katesizzIe/status/900726391099973634,fil
jonnieweekend,2017-08-24 22:23,0,0,MSU,"(['philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,ga
Trololollsxz,2017-08-24 22:19,0,0,Iyung Marawi City shiyet halos mabura na.,"(['Pinoy Pride!'], Location((29.3399699, 48.0274126, 0.0)))",,,900724278957453312,https://twitter.com/Trololollsxz/status/900724278957453312,fil
jasonrobless,2017-08-24 22:18,0,0,D pre,,,,,,sk
shessokawaiii,2017-08-24 22:18,0,0,bakit parang papuntang SAF 44 na yung kwento,"(['Toronto Canada ', 'Davao City PH'], Location((43.653963, -79.387207, 0.0)))",,,,,fil
Jrcxfrmn,2017-08-24 22:16,0,0,kung sumali ka na lang sa mga sundalo na lumalaban sa marawi,,,,,,fil
almajhul66,2017-08-24 22:15,0,0,✿*•.¸¸❥❥¸¸.رﯠﯠﯠﱡﯠﯡﱡﯠﯠﱡﯠﯡﱡﯡﯡﯡﱡﯡﯡﱢﻉــِـِـِـِـِـٍـٍـٍـِـِـِـًـًـهّ,,,,900723306525020160,https://twitter.com/almajhul66/status/900723306525020160,sd
i3ryok,2017-08-24 22:12,0,1,Pangulong Duterte,,,,,,fil
ghel_bell,2017-08-24 22:10,0,1,Oo nga naman dapat PULIS ang pinanlaban sa marawi malamang patay lahat ng maute https:// us/900702041009307648 …,"(['milkyway'], Location((10.1493787, 124.3256828, 0.0)))",,#TanimShabu,900721977962283008,https://twitter.com/ghel_bell/status/900721977962283008,fil
Sahoma_q8,2017-08-24 22:08,2,4,يسعد مساء منهم على القلب غاليين ؛؛؛ تمشي لهم الارواح قبل الرسايل,"(['\xd9\x83\xd9\x8a\xd9\x81\xd8\xa7\xd9\x86', ' \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.3385681, 47.9618183, 0.0)))",,,900721559148666880,https://twitter.com/Sahoma_q8/status/900721559148666880,ar
PHINewsNet1,2017-08-24 22:07,0,0,Napatay ng mga pulis ang isang sundalong galing Marawi matapos mapagkamalang miyembro ng gun-for-hire. http:// li/watch/Av2BXl_2Maw/sundalong%20lumaban%20sa%20marawi,"(['Manila City', ' National Capital Region'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
Trshhllrss,2017-08-24 22:05,0,1,Huy yung sundalo na lumaban sa Marawi,,,,,,fil
JunjieQuin1982,2017-08-24 22:01,0,1,Madaming bleeding hearts dyan sa marawi wasak na ari arian nila. Dios mio lumalaki lang boobs paliit naman ang utak,,,,900719822060879874,https://twitter.com/JunjieQuin1982/status/900719822060879874,fil
pintoooooot,2017-08-24 22:01,0,0,San kaya nag tapon si jheart ng basura? Sa marawi ?,,,,900719723368726528,https://twitter.com/pintoooooot/status/900719723368726528,fil
hannahgelle,2017-08-24 21:59,0,0,walang magawa mga killerz huh. barilin din namin kayo. ipadala pa namin kayo sa marawi . mga ulupong,,,,900719298397650945,https://twitter.com/hannahgelle/status/900719298397650945,fil
ynabeks,2017-08-24 21:58,0,2,Malala pa ata sa marawi ang cavite,,,,900719053899051008,https://twitter.com/ynabeks/status/900719053899051008,fil
CanossaInsider,2017-08-24 21:58,1,1,LATHALAIN: Sa patuloy na pagsalakay ng Islamic Forces sa Marawi,"(['Sta. Rosa', ' Laguna', ' Philippines'], Location((38.4404675, -122.7144314, 0.0)))",,,,,fil
Chip2chip2,2017-08-24 21:56,0,0,Huh!!Kasama sa kulambo hanggang Marawi (Joke lang Wawam),,,,900718511013507072,https://twitter.com/Chip2chip2/status/900718511013507072,fil
chuwariwaps25,2017-08-24 21:56,0,0,Maayo wa ka na stress sa akung past updates??mag leave na gani ka. Laag ka sa marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
dzrhnews,2017-08-24 21:56,2,3,Pang. Duterte,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
ekimtongco,2017-08-24 21:55,0,0,Sa LAKI ng sahod mo e di sana PAGKAIN,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
migggggssss,2017-08-24 21:53,0,0,Di ko na gets ang mga nangyayare. Pati sundalong nakipaglaban sa mga Maute na kakauwi lang galing Marawi dinale ng pulis. </3,"(['san ildefonso', ' ilocos sur'], Location((18.04891605, -66.3510015447, 0.0)))",,,900717779317293056,https://twitter.com/migggggssss/status/900717779317293056,fil
stateofdnation,2017-08-24 21:52,0,1,Muling binisita ni Pangulong Duterte ang mga tropa ng gobyerno na nakikipagbakbakan sa Maute-ISIS sa Marawi City.,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900717394263293952,https://twitter.com/stateofdnation/status/900717394263293952,fil
itsmejhayD,2017-08-24 21:51,0,0,"Kumusta naman yung sundalong umuwi sa kanila mula sa assignment sa Marawi tapos napatay ng pulis dahil nanlaban""... http:// D""","(['Mandaluyong City', ' Philippines'], Location((14.5774598, 121.0334694, 0.0)))",,,900717145729978368,https://twitter.com/itsmejhayD/status/900717145729978368,fil
alwaystofu,2017-08-24 21:49,0,0,11 shots sa sundalong galing marawi kasi nanlaban daw! but 11!!! that's not self defense,,,,,,fil
stateofdnation,2017-08-24 21:48,0,3,Patay ang isang sundalo na halos tatlong buwan sumabak sa giyera sa Marawi City matapos maka-engkwentro diumano...,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900716469842870272,https://twitter.com/stateofdnation/status/900716469842870272,fil
wookvspa,2017-08-24 21:47,0,0,tapos hindi siya takot na sniper'in o ano nung sona,,,,,,fil
NewsLightTV,2017-08-24 21:46,0,0,TIGNAN: Muling binisita ni Pres. Rody Duterte ang Marawi City (Photos taken by SAP Bong Go),,,,900715968577523713,https://twitter.com/NewsLightTV/status/900715968577523713,fil
MochaUson,2017-08-24 21:45,167,843,Tinanong ko kanina ang mga sundalo sa Marawi kung pwede ba sila matulog habang duty,"(['Makati City', ' National Capital Region'], Location((14.5591272, 121.0202094, 0.0)))",,,,,fil
egdsgn,2017-08-24 21:45,0,0,24 Oras: Sundalong nakaligtas sa bakbakan sa Marawi,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
dzrhnews,2017-08-24 21:40,0,0,Sundalong galing Marawi na napatay ng mga pulis sa Zamboanga del Sur,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
egdsgn,2017-08-24 21:39,0,0,BT: Sundalong galing sa Marawi,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
lconjejr,2017-08-24 21:38,0,0,MARAWI EX MAYOR SINABING SI BAM AQUINO AT TRILLANES ANG UTAK NG PANGGUGULO SA MARAWI http://,,,,900713905424650241,https://twitter.com/lconjejr/status/900713905424650241,fil
gmanewsfacebook,2017-08-24 21:37,0,0,Napasok na ng mga militar ang isa sa dalawang mosque sa Marawi kung saan pinaniniwalaang nagkuta ang mga lider ng... http:// 2U,,,,900713570282766336,https://twitter.com/gmanewsfacebook/status/900713570282766336,fil
smninewschannel,2017-08-24 21:35,1,1,Pangulong Duterte muling binisita ang Marawi at personal na tiningnan ang kalagayan ng mga sundalo. Namahagi ang... http://,"(['ACQ Tower', ' Makati City'], Location((14.5608377, 121.042507237, 0.0)))",,,900713075845861382,https://twitter.com/smninewschannel/status/900713075845861382,fil
TriishaDayo,2017-08-24 21:32,0,1,Marawi pa more,,,,900712411631505412,https://twitter.com/TriishaDayo/status/900712411631505412,fil
eshiemitzuu,2017-08-24 21:28,0,1,Ay kulba. Basin tuas Marawi ang forever ani,,,,900711335394136064,https://twitter.com/eshiemitzuu/status/900711335394136064,fil
xxxinful,2017-08-24 21:23,0,0,Papano nalang kung sa panahon ni PNOY nangyari ang Marawi siege?,"(['Iloilo City'], Location((10.7026718, 122.5686136, 0.0)))",,,900710214873227264,https://twitter.com/xxxinful/status/900710214873227264,fil
dzIQ990,2017-08-24 21:15,0,1,Pangulong Rodrigo Duterte,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,,fil
jusstmeCeeJ,2017-08-24 21:15,0,0,Itapon kita sa marawi tingnan mo.,"(['Zamboanga City'], Location((6.9046004, 122.0763695, 0.0)))",,,900708091913580545,https://twitter.com/jusstmeCeeJ/status/900708091913580545,fil
24OrasGMA,2017-08-24 21:09,0,0,VIDEO: Sundalong nakaligtas sa bakbakan sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
Greco_Belgica,2017-08-24 21:06,5,45,Full battle gear ang ating Pangulo kasama ni SAP Bong sa Marawi .,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,900705764549033984,https://twitter.com/Greco_Belgica/status/900705764549033984,fil
IaaaamEthan,2017-08-24 21:05,0,0,Manute? Yung nasa marawi ? https:// e/status/900705001751932929 …,"(['Kikay \xc2\xa0\xe2\x9d\xa4'], Location((6.2444716, 10.6997185, 0.0)))",,,900705685276471296,https://twitter.com/IaaaamEthan/status/900705685276471296,fil
mdcoplus,2017-08-24 20:59,0,1,Nagdaram dam pa si Tatay Digong,"(['San Francisco'], Location((8.444585, 125.951249185, 0.0)))",,,,,fil
maramagutlapig,2017-08-24 20:56,2,5,Akalain nyo yun,,,,,,fil
DoNutBeFooled,2017-08-24 20:55,0,0,Nasa Marawi si Tatay Digong. Keep safe Tatay .,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900703035533414400,https://twitter.com/DoNutBeFooled/status/900703035533414400,fil
amxbonifacio,2017-08-24 20:53,0,0,Bakbakan sa marawi,"(['XIX'], Location((42.2088709, 18.9399606, 0.0)))",,,900702722709569537,https://twitter.com/amxbonifacio/status/900702722709569537,fil
j_mreyes,2017-08-24 20:51,1,0,NatuonalSecurity Adviser Esperon,,,,,,fil
alchrissmartin,2017-08-24 20:51,0,0,Marawi brooo hahaha,,,,900702133569208320,https://twitter.com/alchrissmartin/status/900702133569208320,fil
jonlfns,2017-08-24 20:51,0,0,Sumama talaga siya sa Marawi para lang magtanong? parin. https:// us/900701009147600896 …,"(['PH'], Location((12.44249325, 122.160395164, 0.0)))",,#FireMocha,900702068532428801,https://twitter.com/jonlfns/status/900702068532428801,fil
sassymysh,2017-08-24 20:51,0,0,kung lahat ata ng nanlaban ay napapatay ng mga pulis,"(['MNL'], Location((14.5121499, 121.022046716, 0.0)))",,,,,fil
attaccthegino,2017-08-24 20:51,0,0,Tara marawi nalang,,,,900702036274040833,https://twitter.com/attaccthegino/status/900702036274040833,fil
chefrynsmsn,2017-08-24 20:49,0,0,susubaybayan ko yung pagbangon ng Marawi .,,,,900701693028859905,https://twitter.com/chefrynsmsn/status/900701693028859905,fil
DZMMTeleRadyo,2017-08-24 20:48,2,4,Sundalong lumaban sa Marawi,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
MochaUson,2017-08-24 20:47,87,563,Tyo po ay sumama kay Tatay D sa Marawi at atin po syang tnanung tungkol sa mga gusto ng mga bleeding na ako po ay i-fire.Abangan ang video,"(['Makati City', ' National Capital Region'], Location((14.5591272, 121.0202094, 0.0)))",,,900701009147600896,https://twitter.com/MochaUson/status/900701009147600896,fil
TriishaDayo,2017-08-24 20:47,0,1,Marawi kaaaa??? Omggg,,,,900700976180412416,https://twitter.com/TriishaDayo/status/900700976180412416,fil
smolchalamet,2017-08-24 20:44,0,5,"*war on marawi * AKALA KO BA SAFE ANG DAVAO"" ULUL KA BA MAGKAIBA ANG MARAWI AT DAVAO PO PUTAK KA NG PUTAK MALI NAMAN SINASABI MO TANGINA""",,,,900700227270656002,https://twitter.com/smolchalamet/status/900700227270656002,fil
crizz_get08,2017-08-24 20:44,0,0,Hearing sa pagkamatay ni Kian pero ang pagkamatay sa mga sundalo sa marawi wala naghearing...,"(['Davao City', ' Philippines 8000'], Location((7.22650725, 125.454887691, 0.0)))",,#Senators #PleaseExplain,900700225194434560,https://twitter.com/crizz_get08/status/900700225194434560,fil
dzIQ990,2017-08-24 20:41,0,0,Grand Mosque sa Marawi nabawi na ng militar mula sa kamay ng Maute group https:// |,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@chonayu1,,900699521897832449,https://twitter.com/dzIQ990/status/900699521897832449,fil
DailyDuterte,2017-08-24 20:30,0,1,Pangulong Duterte Muling Bumisita sa Marawi !,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#TapangAtMalasakit #CommanderInChief,900696829494386689,https://twitter.com/DailyDuterte/status/900696829494386689,fil
inggnabllrxx,2017-08-24 20:13,0,1,Naaawa ako sa balitang may isang sundalong galing sa Marawi na nagpaalam naman sa Commander niya na umuwi kasi namimiss na niya misis niya.,,,,900692626336129024,https://twitter.com/inggnabllrxx/status/900692626336129024,fil
ami_achmady,2017-08-24 20:12,0,0,Alhamdulillah,"(['indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,,,id
